Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-2,0,0,255,255,255
250,-2,0,0,255,255,255
500,-2,0,0,255,255,255
750,-2,0,0,255,255,255
1000,-2,0,0,255,255,255
1250,-2,0,0,255,255,255
1500,-2,0,0,255,255,255
1750,-2,0,0,255,255,255
2000,-2,0,0,255,255,255
2250,-2,0,0,255,255,255
2500,-2,0,0,255,255,255
2750,-2,0,0,255,255,255
3000,-2,0,0,255,255,255
3250,-2,0,0,255,255,255
3500,-2,0,0,255,255,255
3750,-2,0,0,255,255,255
4000,-2,0,0,255,255,255
4250,-2,0,0.0388,255,255,255
4500,-2,0,0.1444,255,255,255
4750,-2,0,0.3004,255,255,255
5000,-2,0,0.4905,255,255,255
5250,-2,0,0.6983,255,255,255
5500,-2,0,0.9076,255,255,255
5750,-2,0,1.102,255,255,255
6000,-2,0,1.2736,255,255,255
6250,-2,0,1.4288,255,255,255
6500,-2,0,1.5723,255,255,255
6750,-2,0,1.709,255,255,255
7000,-2,0,1.8439,255,255,255
7250,-2,0,1.9817,255,255,255
7500,-2,0,2.1275,255,255,255
7750,-2,0,2.2859,255,255,255
8000,-2,0,2.462,255,255,255
8250,-2.0081,0,2.6562,255,255,255
8500,-2.0267,0,2.8571,255,255,255
8750,-2.047,0,3.0514,255,255,255
9000,-2.0604,0,3.226,255,255,255
9250,-2.0582,0,3.3678,255,255,255
9500,-2.0316,0,3.4635,255,255,255
9750,-1.972,0,3.5,255,255,255
10000,-1.855,0,3.5019,255,255,255
10250,-1.673,0,3.5028,255,255,255
10500,-1.4422,0,3.5029,255,255,255
10750,-1.179,0,3.5025,255,255,255
11000,-0.8998,0,3.5018,255,255,255
11250,-0.6208,0,3.5009,255,255,255
11500,-0.3584,0,3.5003,255,255,255
11750,-0.129,0,3.5,255,255,255
12000,0.0719,0,3.5,255,255,255
12250,0.2612,0,3.5,255,255,255
12500,0.4409,0,3.5,255,255,255
12750,0.6133,0,3.5,255,255,255
13000,0.7806,0,3.5,255,255,255
13250,0.9451,0,3.5,255,255,255
13500,1.1088,0,3.5,255,255,255
13750,1.274,0,3.5,255,255,255
14000,1.4428,0,3.5,255,255,255
14250,1.6176,0,3.5,255,255,255
14500,1.8004,0,3.5,255,255,255
14750,1.9935,0,3.5,255,255,255
15000,2.199,0,3.5,255,255,255
15250,2.4287,0,3.5,255,255,255
15500,2.6834,0,3.5,255,255,255
15750,2.9493,0,3.5,255,255,255
16000,3.2124,0,3.5,255,255,255
16250,3.4588,0,3.5,255,255,255
16500,3.6747,0,3.5,255,255,255
16750,3.8462,0,3.5,255,255,255
17000,3.9592,0,3.5,255,255,255
17250,4,0,3.5,255,255,255
17500,4,0,3.5,255,255,255
17750,4,0,3.5,255,255,255
18000,4,0,3.5,255,255,255
18250,4,0,3.5,255,255,255
18500,4,0,3.5,255,255,255
18750,4,0,3.5,255,255,255
19000,4,0,3.5,255,255,255
19250,4.0233,0,3.5,255,255,255
19500,4.0872,0,3.5,255,255,255
19750,4.1826,0,3.5,255,255,255
20000,4.3005,0,3.5,255,255,255
20250,4.432,0,3.5,255,255,255
20500,4.568,0,3.5,255,255,255
20750,4.6995,0,3.5,255,255,255
21000,4.8174,0,3.5,255,255,255
21250,4.9128,0,3.5,255,255,255
21500,4.9767,0,3.5,255,255,255
21750,5,0,3.5,255,255,255
22000,5,0,3.5,255,255,255
22250,5,0,3.5,255,255,255
22500,5,0,3.5,255,255,255
22750,5,0,3.5,255,255,255
23000,5,0,3.5,255,255,255
23250,5,0,3.5,255,255,255
23500,5,0,3.5,255,255,255
23750,5,0,3.5,255,255,255
24000,5,0,3.5,255,255,255
24250,5,0,3.5,255,255,255
24500,5,0,3.5,255,255,255
24750,5,0,3.5,255,255,255
25000,5,0,3.5,255,255,255
25250,5,0,3.5,255,255,255
25500,5,0,3.5,255,255,255
25750,5,0,3.5,255,255,255
26000,5,0,3.5,255,255,255
26250,5,0,3.5,255,255,255
26500,5,0,3.5,255,255,255
26750,5,0,3.5,255,255,255
27000,5,0,3.5,255,255,255
27250,5,0,3.5,255,255,255
27500,5,0,3.5,255,255,255
27750,5,0,3.5,255,255,255
28000,5,0,3.5,255,255,255
28250,5,0,3.5,255,255,255
28500,5,0,3.5,255,255,255
28750,5,0,3.5,255,255,255
29000,5,0,3.5,255,255,255
29250,5,0,3.5,255,255,255
29500,5,0,3.5,255,255,255
29750,5,0,3.5,255,255,255
30000,5,0,3.5,255,255,255
30250,5,0,3.5,255,255,255
30500,5.0214,0.0007,3.5,255,255,255
30750,5.0835,0.0029,3.5,255,255,255
31000,5.1828,0.0062,3.5,255,255,255
31250,5.316,0.0105,3.5,255,255,255
31500,5.4797,0.0156,3.5,255,255,255
31750,5.6706,0.0214,3.5,255,255,255
32000,5.8852,0.0277,3.5,255,255,255
32250,6.1203,0.0343,3.5,255,255,255
32500,6.3724,0.0409,3.5,255,255,255
32750,6.6381,0.0475,3.5,255,255,255
33000,6.9142,0.0539,3.5,255,255,255
33250,7.1972,0.0598,3.5,255,255,255
33500,7.4838,0.0651,3.5,255,255,255
33750,7.7705,0.0697,3.5,255,255,255
34000,8.0541,0.0732,3.5,255,255,255
34250,8.3311,0.0756,3.5,255,255,255
34500,8.5982,0.0767,3.5,255,255,255
34750,8.852,0.0763,3.5,255,255,255
35000,9.0892,0.0742,3.5,255,255,255
35250,9.3063,0.0702,3.5,255,255,255
35500,9.5001,0.0642,3.5,255,255,255
